iter	Passed	Remaining
0	13	13924
1	18	9127
2	22	7369
3	27	6783
4	31	6327
5	36	6002
6	42	6042
7	46	5808
8	50	5569
9	55	5465
10	60	5399
11	63	5266
12	67	5144
13	71	5045
14	76	5000
15	79	4903
16	83	4832
17	87	4795
18	92	4774
19	96	4724
20	101	4711
21	105	4704
22	110	4676
23	113	4618
24	116	4557
25	120	4529
26	125	4520
27	129	4498
28	133	4472
29	137	4457
30	141	4434
31	145	4397
32	149	4367
33	154	4386
34	158	4371
35	162	4343
36	166	4329
37	170	4309
38	175	4318
39	178	4290
40	182	4262
41	186	4264
42	190	4242
43	194	4217
44	197	4190
45	200	4167
46	205	4170
47	209	4150
48	212	4129
49	216	4109
50	220	4095
51	225	4107
52	228	4089
53	232	4069
54	236	4071
55	241	4064
56	244	4048
57	248	4034
58	252	4024
59	257	4027
60	261	4021
61	264	4006
62	268	3996
63	273	4000
64	277	3995
65	281	3989
66	286	3992
67	290	3981
68	294	3969
69	297	3954
70	301	3944
71	305	3940
72	309	3930
73	313	3925
74	317	3917
75	321	3906
76	324	3895
77	328	3886
78	332	3872
79	336	3870
80	340	3861
81	343	3849
82	347	3838
83	351	3828
84	354	3818
85	358	3808
86	361	3796
87	365	3785
88	368	3775
89	372	3764
90	376	3759
91	379	3749
92	383	3740
93	387	3733
94	391	3728
95	394	3719
96	398	3709
97	402	3705
98	406	3698
99	410	3690
100	413	3681
101	417	3672
102	420	3665
103	424	3656
104	428	3648
105	431	3638
106	434	3630
107	438	3620
108	442	3614
109	446	3611
110	450	3604
111	454	3601
112	458	3598
113	462	3594
114	467	3595
115	471	3590
116	474	3582
117	478	3574
118	481	3567
119	485	3559
120	489	3554
121	492	3547
122	496	3540
123	500	3533
124	504	3528
125	507	3523
126	511	3515
127	515	3512
128	519	3505
129	522	3498
130	526	3491
131	529	3483
132	533	3476
133	537	3471
134	542	3474
135	546	3474
136	550	3468
137	554	3460
138	557	3453
139	561	3449
140	565	3444
141	569	3439
142	572	3432
143	576	3425
144	580	3421
145	583	3415
146	587	3408
147	590	3400
148	594	3395
149	598	3389
150	601	3384
151	605	3378
152	609	3373
153	612	3366
154	616	3359
155	620	3355
156	623	3348
157	627	3342
158	630	3335
159	634	3329
160	637	3323
161	641	3316
162	644	3311
163	648	3307
164	652	3300
165	655	3295
166	659	3290
167	663	3285
168	666	3278
169	670	3271
170	674	3268
171	678	3265
172	681	3260
173	685	3252
174	688	3247
175	692	3241
176	696	3238
177	700	3233
178	704	3229
179	708	3225
180	712	3221
181	715	3217
182	719	3210
183	723	3206
184	726	3200
185	730	3196
186	733	3190
187	737	3186
188	741	3182
189	745	3177
190	748	3171
191	752	3165
192	755	3160
193	759	3155
194	763	3150
195	767	3147
196	770	3142
197	775	3139
198	778	3133
199	782	3128
200	785	3124
201	789	3119
202	793	3113
203	797	3110
204	800	3104
205	804	3102
206	808	3097
207	811	3091
208	815	3084
209	818	3080
210	822	3074
211	825	3070
212	829	3064
213	832	3058
214	836	3052
215	839	3047
216	843	3042
217	846	3038
218	851	3036
219	855	3032
220	859	3028
221	862	3022
222	865	3016
223	869	3012
224	873	3007
225	876	3003
226	880	2998
227	884	2995
228	888	2990
229	891	2984
230	895	2980
231	898	2975
232	902	2970
233	906	2966
234	909	2961
235	913	2957
236	917	2954
237	921	2949
238	925	2948
239	930	2945
240	933	2940
241	937	2936
242	940	2930
243	944	2924
244	947	2920
245	951	2916
246	954	2911
247	958	2906
248	961	2900
249	965	2895
250	968	2891
251	972	2886
252	976	2882
253	979	2876
254	983	2873
255	986	2868
256	990	2863
257	994	2859
258	997	2854
259	1001	2851
260	1005	2847
261	1008	2841
262	1012	2837
263	1016	2833
264	1020	2831
265	1025	2830
266	1030	2828
267	1033	2823
268	1037	2819
269	1041	2816
270	1046	2814
271	1050	2812
272	1055	2809
273	1059	2807
274	1063	2803
275	1067	2799
276	1071	2795
277	1074	2791
278	1079	2789
279	1084	2787
280	1088	2784
281	1092	2780
282	1096	2777
283	1099	2772
284	1103	2768
285	1107	2764
286	1111	2760
287	1115	2756
288	1118	2752
289	1122	2747
290	1126	2745
291	1130	2741
292	1134	2737
293	1138	2733
294	1142	2730
295	1146	2726
296	1150	2722
297	1153	2718
298	1157	2713
299	1161	2709
300	1165	2706
301	1169	2701
302	1172	2698
303	1176	2693
304	1180	2689
305	1183	2684
306	1187	2680
307	1190	2675
308	1194	2670
309	1198	2667
310	1201	2662
311	1205	2659
312	1209	2654
313	1213	2650
314	1216	2646
315	1220	2642
316	1224	2637
317	1227	2633
318	1231	2628
319	1235	2625
320	1239	2621
321	1242	2616
322	1246	2612
323	1249	2607
324	1253	2603
325	1257	2599
326	1260	2594
327	1264	2590
328	1267	2585
329	1271	2582
330	1275	2578
331	1280	2576
332	1284	2572
333	1288	2569
334	1291	2564
335	1296	2561
336	1299	2557
337	1303	2552
338	1306	2548
339	1310	2544
340	1314	2541
341	1319	2538
342	1322	2533
343	1327	2531
344	1331	2527
345	1335	2523
346	1339	2520
347	1342	2515
348	1346	2511
349	1349	2507
350	1353	2502
351	1357	2499
352	1361	2495
353	1365	2490
354	1368	2486
355	1372	2482
356	1375	2477
357	1379	2473
358	1383	2469
359	1386	2465
360	1390	2461
361	1394	2457
362	1397	2452
363	1401	2448
364	1405	2444
365	1408	2440
366	1412	2435
367	1415	2431
368	1419	2427
369	1422	2422
370	1426	2418
371	1429	2413
372	1433	2409
373	1437	2405
374	1440	2401
375	1444	2396
376	1447	2392
377	1451	2388
378	1454	2383
379	1458	2379
380	1461	2375
381	1465	2371
382	1469	2366
383	1472	2362
384	1476	2358
385	1480	2354
386	1483	2350
387	1487	2346
388	1491	2342
389	1494	2338
390	1498	2333
391	1502	2330
392	1505	2325
393	1509	2321
394	1513	2317
395	1516	2313
396	1520	2309
397	1524	2305
398	1528	2301
399	1531	2297
